judul,sub_judul,isi,tanggal,jam,kategori
Berita Terpopuler Nasional: Bill Gates Tertarik Makan Bergizi Gratis hingga Peluang Disahkannya RUU Perampasan Aset,"Sejumlah peristiwa nasional menyita perhatian pembaca Tempo pada Kamis, 8 Mei 2025, mulai dari tanggapan Bill Gates soal MBG hingga peluang pembahasan RUU Perampasan Aset tahun ini.","TEMPO.CO,Jakarta- Deretan peristiwa politik dan sosial mencuat di panggung nasional. Beberapa berita yang banyak dibaca meliputi berita mengenai alasanBill Gatesterkesan dengan program makan bergizi gratis atau MBG, Gubernur Jakarta Pramono Anung klaim tingkat kepatuhan ASN Jakarta naik kendaraan umum capai 96 persen, hingga peluang disahkannya Revisi Undang-Undang Perampasan Aset.

Pilihan Editor:Cara Joki dan Bimbingan Belajar Mencurangi UTBK

Berikut tiga pemberitaan terpopuler pada Kamis, 8 Mei 2025 di nasional yang dirangkum Tempo:

Alasan Bill Gates Terkesan dengan Program Makan Bergizi Gratis

Kepala Badan Gizi Nasional Dadan Hindayana mengklaim pengusaha asal Amerika Serikat Bill Gates terkesan dengan program makan bergizi gratis. Adapun Presiden Prabowo Subianto mengajak Bill Gates untuk melihat pelaksanaan makan bergizi gratis di SDN Jati 03.",8 Mei 2025,06.11 WIB,Politik
Akuntabilitas Kunci Keberhasilan Makan Bergizi Gratis,Akuntabilitas menjadi kunci keberhasilan proyek makan bergizi gratis. Mulai dari mana?,"PERJALANAN awal programmakan bergizi gratis(MBG) tak sepenuhnya mulus. Diluncurkan pada awal 2025, MBG menjadi salah satu program prioritas pemerintahan Prabowo Subianto dan Gibran Rakabuming Raka. Ambisinya besar: membangun fondasi sumber daya manusia unggul Indonesia. Namun, di tengah gegap gempita peluncurannya, sederet tantangan mulai muncul.",8 Mei 2025,06.00 WIB,Pendapat
"Kepala BGN Hapus Sistem Reimburse untuk Dapur MBG, Ini Penggantinya","Dadan Hindayana mengatakan sistem reimburse untuk dapur MBG tidak lagi berlaku, tetapi diganti dengan rekening virtual account.","TEMPO.CO,Jakarta-Kepala Badan Gizi Nasional (BGN) Dadan Hindayana mengatakan pembayaran operasional dapur atau Satuan Pelayanan Pemenuhan Gizi (SPPG) program Makan Bergizi Gratis (MBG) tidak lagi menggunakan sistem mengganti ataureimburse.Hal tersebut menyusul adanya sejumlah keluhan terkait lamanya proses pencairan dana.

“Program makan bergizi adalah pola bantuan pemerintah, karena ini adalah biaya sosial yang bisa dicairkan ke pihak perorangan, kelompok masyarakat, atau juga ke yayasan. Dalam pola bantuan pemerintah, sebetulnya uang itu masuk ke rekening yayasan dan langsung bisa menggunakan,” kata Dadan dalam Rapat Dengar Pendapat (RDP) bersama Komisi IX DPR RI di Senayan, Jakarta, Selasa, 6 Mei 2025.

Dia menjelaskan bahwa BGN akhirnya memutuskan untuk mengganti mekanisme pembayaran operasionaldapurMBG dengan membuat akun virtual atauvirtual account(VA). Dia menyebut SPPG tidak bisa beroperasi sebelum memiliki akun virtual tersebut.

“Jadi, rekening bersama yang dibuat oleh Badan Gizi Nasional ketika mitra sudah terverifikasi sebagai mitra. Kemudian, kita buatkanvirtual account,hanya bisa dicairkan oleh dua pihak, perwakilan yayasan dan kepala Satuan Pelayanan Pemenuhan Gizi,” ucap dia.

Dia mengungkapkan bahwa dengan sistem pembayaran yang baru, anggaran akan disalurkan BGN melalui akun virtual untuk 10 hari ke depan. Sementara pembayaran dengan mekanismereimburseyang telah diberlakukan sebelumnya, lanjut dia, bakal diselesaikan maksimal minggu ini.",7 Mei 2025,16.58 WIB,Bisnis
Prabowo dan Bill Gates Tinjau Program Makan Bergizi Gratis di SD Negeri,Tidak ditemukan,Tidak ditemukan,7 Mei 2025,16.00 WIB,Video
Alasan Bill Gates Terkesan dengan Program Makan Bergizi Gratis,Presiden Prabowo Subianto mengajak Bill Gates untuk melihat pelaksanaan makan bergizi gratis di SDN Jati 03.,"TEMPO.CO,Jakarta- Kepala Badan Gizi Nasional Dadan Hindayana mengklaim pengusaha asal Amerika SerikaBill Gatesterkesan dengan pelaksanaan program makan bergizi gratis. Kesan itu karena pelaksanaan makan bergizi membutuhkan anggaran besar. Namun, pemerintah Indonesia tetap bisa melakukannya.

""Karena untuk melakukan ini kan pasti membutuhkan anggaran yang cukup besar. Namun, Presiden Prabowo Subianto menyampaikan itu sudah dipersiapkan oleh pemerintah Indonesia,"" kata dia di Sekolah Dasar Negeri (SDN) Jati 03, Pulo Asem, Jakarta, Rabu, 7 Mei 2025.

Adapun Presiden Prabowo Subianto mengajak Bill Gates untuk melihat pelaksanaanmakan bergizi gratisdi SDN Jati 03. Dadan mengatakan, Bill Gates menekankan pentingnya program ini berjalan selama 1.000 hari pertama untuk ibu hamil dan anak.

""Bill Gates menekankan kepada 1000 hari pertama yaitu ibu hamil, anak balita, serta juga anak anak yang masih butuh pertumbuhan,"" kata dia.

Dadan mengatakan, Bill Gates juga akan memberikan bantuan untuk program ini. Namun, Dadan belum mengetahui bentuk bantuan itu..",7 Mei 2025,12.39 WIB,Politik
"Prabowo soal Keracunan MBG, dari Siswa Tak Cuci Tangan hingga Tak Pakai Sendok","Prabowo menyebut beberapa faktor penyebab keracunan MBG, antara lain kebiasaan siswa yang tidak mencuci tangan dan tidak menggunakan sendok.","TEMPO.CO,Jakarta- PresidenPrabowoSubianto merespons sejumlah insiden keracunan yang menimpa siswa penerima manfaat programMakan Bergizi Gratis(MBG). Menurut dia, apabila dibandingkan dengan tingkat keberhasilannya, maka kegagalan program MBG akibat keracunan terbilang sangat rendah.

“Bisa dikatakan yang keracunan sejumlah 200 orang. Itu 200 dari tiga koma sekian juta (3,4 juta penerima), kalau tidak salah 0,005 persen. Berarti keberhasilannya adalah 99,99 persen,” kata Prabowo dalam Sidang Kabinet Paripurna di Kantor Presiden, Jakarta, Senin, 5 Mei 2025.

Dia mengklaim proses pengolahan bahan pangan di dapur atau Satuan Pelayanan Pemenuhan Gizi (SPPG) MBG sudah memperhatikan kebersihan dan keamanan yang ketat. Dia menyebut para pekerja dapur telah dibekali dengan alat pelindung diri (APD).

“Yang saya sidak (inspeksi mendadak) bagus, pakai tutup kepala, sarung tangan, baju APD, ada yang harus buka sepatu. Presiden disuruh buka sepatu, saya patuh buka sepatu,” ucap Prabowo.

Dia menilai terdapat beberapa faktor yang menjadi pemicu dari kasus keracunan paket MBG, salah satunya adat istiadat atau budaya makan yang bervariasi di setiap daerah. Dia memberi contoh, ada beberapa anak yang tidak terbiasa mengonsumsi makanan menggunakan sendok.",7 Mei 2025,10.39 WIB,Bisnis
"Temui Bill Gates, Prabowo Didampingi Sejumlah Konglomerat Indonesia",Bill Gates tiba di Istana Merdeka pukul 08.16 WIB. Ia disambut langsung oleh Prabowo di beranda Istana Merdeka.,"TEMPO.CO,Jakarta- PresidenPrabowo SubiantomengenalkanBill Gatesdengan belasan konglomerat Indonesia saat menerima kunjungannya di Istana Merdeka, Jakarta, Rabu, 7 Mei 2025.

Para pengusaha yang hadir antara CEO CT Corp Chairul Tanjung; pemilik Citra Borneo Indah Group Abdul Rasyid; pemilik PT Alamtri Resources Tbk., Garibaldi 'Boy' Thohir; pemilik Arsari Group Hashim Djojohadikusum; dan pemilik Grup Barito Pacific Prajogo Pangestu.

Kemudian, Komisaris Indika Energy Arsjad Rasjid; pemilik Artha Graha Group Tomy Winata; pemilik Lippo Group James Riady; serta petinggi Salim Group Anthony Salim; pemilik Mayapada Group Dato Sri Tahir; serta pemilik Jhonlin Group Andi Syamsuddin Arsyad alias Haji Isam.

Sementara anggota kabinet yang hadir Menteri Sekretaris Negara Prasetyo Hadi; Menteri Luar Negeri Sugiono; Menteri Kesehatan Budi Gunadi Sadikin; Menteri Investasi dan Hilirisasi/CEO Danantara Rosan Roeslani; Sekretaris Kabinet Teddy Indra Wijaya; dan Menteri Komunikasi dan Digital Meutya Hafid.

Bill Gates tiba di Istana Merdeka pukul 08.16 WIB. Ia disambut langsung oleh Prabowo di beranda Istana Merdeka. Pihak Istana Kepresidenan mengatakan keduanya bertemu untuk membahas sejumlah inisiatif pembangunan berkelanjutan.",7 Mei 2025,10.14 WIB,Nusa
"Presiden Prabowo Akan Terima Bill Gates di Istana Hari ini, Bahas MBG",Prabowo menuturkan surat permintaan kunjungan Bill Gates ke Indonesia sudah disampaikan sejak November.,"TEMPO.CO,Jakarta- PresidenPrabowo Subiantoakan menerima filantropi Amerika Serikat dan pendiri MicrosoftBill Gatesdi Istana Merdeka, Jakarta Pusat, Rabu, 7 Mei 2025.

Presiden Prabowo dan Bill Gates dijadwalkan mengadakan pertemuan di Istana Merdeka untuk membahas sejumlah inisiatif pembangunan berkelanjutan.

“Khususnya pada isu kesehatan global, nutrisi, inklusi keuangan, dan infrastruktur digital publik,” kata Deputi Bidang Protokol, Pers, dan Media Sekretariat Presiden Yusuf Permana, dikutip dari keterangan resminya, Rabu, 7 Mei 2025.

Sebelumnya Presiden Prabowo Subianto mengatakan Bill Gates datang untuk memberikan dukungan pelaksanaan programMakan Bergizi Gratis(MBG). Ia menuturkan surat permintaan kedatangan sudah masuk sejak November.

“Salah satu tujuannya adalah untuk menyatakan dukungan dan apresiasi terhadap program makan bergizi yang kita jalankan,"" ujar Prabowo dalam memberikan arahan Sidang Kabinet Paripurna di Istana Kepresidenan, Jakarta Pusat, Senin, 5 Mei 2025.",7 Mei 2025,08.13 WIB,Politik
"Berkukuh tidak Tilap Dana Makan Bergizi Gratis, Yayasan MBN: Laporan Polisi Berlebihan",Mitra dapur makan bergizi gratis di Kalibata sempat berhenti beroperasi karena tak kunjung dibayar. Pemilik mengaku rugi hampir Rp 1 miliar,"TEMPO.CO,Jakarta-  Yayasan Media Berkat Nusantara (MBN) menilai laporan polisi mengenai dugaan penyelewengan dana programMakan Bergizi Gratis(MBG) berlebihan. Kuasa hukum yayasan tersebut berpendapat kasus ini seharusnya tidak serta-merta dibawa ke ranah hukum pidana.

“Sangat berlebihan, sangat tidak pada tempatnya. Kalau sudah dilampirkan bukti-buktinya terus kami (ternyata) enggak bayar, baru dikatakan bisa ke pidana,” kata Timoty Ezra Simanjuntak, salah satu kuasa hukum, saat ditemui di Polres Jakarta Selatan, Senin, 5 Mei 2025.

Menurut dia, pelapor belum melampirkan bukti lengkap atas tagihan yang diajukan. “Ini belum dilampirkan, diminta bayar. Jadi seharusnya pidana itu jadi langkah terakhir, bukan sekarang,” ujarnya.

Rekan Timoty, Nico Hermawan, menyebut perkara ini masih berada di ranah hukum perdata. “Sejauh ini kami melihat bahwa proses yang berjalan murni perdata, karena seluruh dokumentasi kami masih mengacu pada perjanjian kerja sama,” ujarnya.

Laporan terhadap MBN dilayangkan oleh Ira Mesra Destiawati, pemilikdapur umum mitra MBGdi Kalibata, Jakarta Selatan. Ia mengklaim belum menerima pembayaran sepeser pun sejak dapurnya mulai beroperasi pada Februari 2025. Kasus ini dilaporkan ke Polres Metro Jakarta Selatan dengan nomor LP/B/1160/IV/2025/SPKT/POLRES METRO JAKSEL/POLDA METRO JAYA, pada Kamis, 10 April 2025.",7 Mei 2025,05.31 WIB,Kriminal
BGN akan Alokasikan Rp 6 Triliun untuk Bangun 1.542 SPPG Makan Bergizi Gratis,BGN berencana membentuk 1.542 satuan pelayanan pemenuhan gizi (SPPG) menggunakan alokasi APBN.,"TEMPO.CO,Jakarta- Kepala Badan Gizi Nasional (BGN) Dadan Hindayana berencana membentuk 1.542 satuan pelayanan pemenuhan gizi (SPPG) menggunakan alokasi anggaran pendapatan dan belanja negara (APBN). “Kurang lebih sekitar Rp 6 triliun,” kata Dadan kepada wartawan di kompleks parlemen, Senayan, pada Selasa, 6 Mei 2025.

Dadan mengatakan, saat ini Badan Gizi Nasional sedang mencari lahan untuk pembangunan ribuan SPPG itu. Ia pun memastikan anggaran pembangunan SPPG telah tersedia dan sedang dalam proses konsultasi manajemen.

Ia mengungkapkan gedung SPPG yang selama ini beroperasi dibangun oleh mitra program Makan Bergizi Gratis. ""BGN sendiri baru akan membangun 1.542 dalam proses perencanaan dantendernyamungkin ada akhir bulan ini sehingga baru akan selesai Agustus.""

Atas kerja sama kemitraan, Dadan mencatat sudah ada 1.286 SPPG yang tersebar di seluruh Indonesia hingga 5 Mei 2025. Dadang mengatakan, mitra juga berencana membangun 219 SPPG pada 14 Mei mendatang. “Itu semua berkat kemitraan dan jika kami mengandalkan kepada dana APBN semata maka sebetulnya program Makan Bergizi Gratis baru akan bisa dilaksanakan bulan Agustus,” ujar dia kepada anggota dewan saat rapat dengar pendapat dengan Komisi IX DPR.

Adapun tujuan memperbanyak gedung SPPG itu, kata Dadan, untuk mempercepat target penerima manfaat program Makan Bergizi Gratis. Sebelumnya, makan bergizi gratis menyasar kepada 17,9 juta orang penerima manfaat, 15,5 juta anak sekolah dan 2,4 juta dari kategori ibu hamil, menyusui, dan balita. Target tersebut naik menjadi 82,9 juta penerima pada November mendatang.",6 Mei 2025,18.11 WIB,Bisnis
BGN akan Tambah 219 SPPG Makan Bergizi Gratis per 14 Mei,"Menurut BGN, hingga saat ini ada 1.286 SPPG yang aktif beroperasi. Sedangkan penerima manfaat MBG tercatat sebanyak 3.506.941 orang.","TEMPO.CO,Jakarta- KepalaBadan Gizi NasionalDadan Hindayana menargetkan penambahan Satuan Pelayanan Pemenuhan Gizi (SPPG) untuk proyekMakan Bergizi Gratisatau MBG pada pertengahan Mei 2025.

Pilihan Editor:Jalan Panjang dan Berat Mewujudkan Pemakzulan Gibran

Dadan menyebut ada sekitar 219 SPPG baru yang akan beroperasi per 14 Mei 2025. Sementara estimasi total tambahan penerima manfaat sebanyak 657 ribu orang. “Dengan demikian, total yang nanti akan operasi pada tanggal 14 Mei kurang lebih 1.505 Satuan Pelayanan Pemenuhan Gizi yang akan melayani kurang lebih 4.163.941 penerima manfaat,” ucap Dadan dalam rapat dengar pendapat dengan Komisi IX DPR RI di Kompleks Parlemen Senayan, Jakarta, pada Selasa, 6 Mei 2025.

Dadan menyampaikan hingga 5 Mei 2025, ada 1.286 SPPG yang aktif beroperasi. Sedangkan penerima manfaat MBG tercatat sebanyak 3.506.941 orang.

Program Makan Bergizi Gratis–sebelumnya disebut makan siang gratis—selalu digaungkan Presiden Prabowo Subianto sejak masa kampanye pemilihan presiden 2024. Ia berulang kali mengucap janji pelaksanaan makan siang gratis saat debat calon presiden dan dalam kampanye akbar pada 10 Februari 2024 lalu.",6 Mei 2025,12.01 WIB,Politik
"Keracunan MBG Terus Berulang, Begini Kata Prabowo dan Kepala BGN",Presiden Prabowo Subianto mengklaim angka kasus keracunan MBG lebih kecil dibandingkan angka penerima manfaat program tersebut.,"KASUS keracunan setelah menyantap Makan Bergizi Gratis atauMBGterus berulang. Dinas Kesehatan Kota Bandung, Jawa Barat, melaporkan sebanyak 342 siswa SMP Negeri 35 Kota Bandung mengalami gejala keracunan makanan setelah menyantap makan gratis yang merupakan program PresidenPrabowoSubianto itu pada Selasa, 29 April 2025.

Kepala Dinas Kesehatan Kota Bandung Anhar Hadian langsung mengambil sampel makanan ke sekolah itu untuk mengetahui penyebab dari keracunan massal itu. “Sementara data yang saya dapat kemarin sore itu ada 342 orang. Pihak wali kelas masih mendata, masih mencari informasi tambahan,” kata Anhar di Bandung pada Kamis, 1 Mei 2025, seperti dikutip dariAntara.

Anhar memastikan seluruh siswa yang mengalami gejala keracunan sudah berada di rumah dan dalam pemantauan pihak puskesmas. Dia menjelaskan gejala yang muncul di antaranya diare, nyeri perut, muntah, pusing, dan demam. Gejala tersebut muncul paling cepat 30 menit setelah makan, dan paling lama delapan jam.

Ini bukan kali pertama kasus keracunan setelah menyantap menu MBG terjadi. Sebelumnya, setidaknya telah terjadi beberapa kasus serupa di sejumlah daerah.

Presiden Prabowo Subianto menduga kasus keracunan MBG karena siswa tidak menggunakan sendok ketika menyantap makanan yang diberikan. Selain itu, siswa tersebut diduga belum cuci tangan dengan bersih.

“Tidak salah karena terbiasa makan tidak pakai sendok. Namun kami mendidik dia untuk cuci tangan. Jadi bisa saja yang keracunan adalah hal-hal seperti itu,” kata Prabowo dalam rapat kabinet di Istana Negara, Jakarta Pusat, Senin, 5 Mei 2025.

Presiden menceritakan pengalamannya ketika meninjau pelaksanaan makan gratis di salah satu sekolah. Dalam satu ruangan, 10 dari 30 anak tidak memakai sendok untuk menyantap makan bergizi. Kepala Negara menduga makan tidak menggunakan sendok membuat anak keracunan.

Selain tidak menggunakan sendok, Prabowo menduga kasus keracunanterjadi karena ada anak yang belum terbiasa mengonsumsi menu makan gratis seperti susu. Meski begitu, dia meyakini anak itu ke depan akan biasa mengonsumsi susu. “Masalah itu, dia enggak pernah minum susu. Kami kasih susu dia butuh waktu penyesuaian,” kata dia.

Prabowo mengklaim angka kasus keracunan program MBG lebih kecil dibandingkan angka penerima manfaat. Angka kasus keracunan makan gratis sekitar 200 orang dari 3 juta penerima manfaat. “Dari 3 koma sekian juta, kalau tidak salah di bawah 200 orang (yang keracunan),” ujarnya.

Dengan jumlah itu, Prabowo mengatakan tingkat keberhasilan makan gratis mencapai 99,9 persen. Sementara, tingkat kasus keracunan 0,005 persen. Mantan Menteri Pertahanan ini pun menghargai target Kepala Badan Gizi Nasional (BGN) Dadan Hindayana yang tidak ingin ada lagi penyimpanan dalam pelaksanaan makan gratis.

Kepala Negara meyakini makan gratis bisa berjalan dengan baik. “Tapi saya hargai karena Kepala BGN dan jajaran mengatakan, ‘Pak, sasaran kita adalahzeropenyimpangan,zerokesalahan’. Dan kami mengerti tidak gampang di dapur itu yang kerja 50 orang, satu dapur yang kerja 50 orang,” ujarnya.

Adapun Kepala BGN Dadan Hindayana mengatakan pelaksanaan MBG masih menghadapi tantangan pengawasan kualitas dan kelengkapan infrastruktur yang disediakan mitra. Mengatasi hal itu, BGN sedang menyusun dan mempertajam standar operasional prosedur (SOP) pemilihan serta supervisi mitra.

“Oleh sebab itu, kami berkumpul sekarang ini untuk mempertajam SOP-SOP terkait dengan penyeleksian-penyeleksian mitra. Dan juga supervisi-supervisi infrastruktur yang harus ada dan akan disiapkan oleh para mitra,” kata Dadan dalam rapat bersama Presiden Prabowo Subianto di Hambalang, Kabupaten Bogor, Jawa Barat, Sabtu, 3 Mei 2025, dikutip dari keterangan Sekretariat Presiden.

Dadan mengatakan Prabowo memerintahkan BGN dan jajaran bekerja lebih cermat dalam melaksanakan program MBG. Dia menuturkan Presiden tidak ingin kasus keracunan menyantap makan bergizi kembali terjadi. “Sehingga kami bisa bekerja lebih semangat dan juga lebih cepat, lebih cermat dan target kami adalahzero accident. Tidak ada kejadian keracunan di lapangan,” ujar Dadan.

Rapat itu juga dihadiri Menteri Pertahanan Sjafrie Sjamsoeddin, Menteri Sekretaris Negara Prasetyo Hadi, dan Sekretaris Kabinet Teddy Indra Wijaya.

Dadan mengatakan BGN berkerja sama dengan Universitas Pertahanan (Unhan) mendidik 30 ribu calon Kepala Satuan Pelayanan Pemenuhan Gizi (SPPG). Ribuan calon kepala SPPG itu akan selesai mengikuti pendidikan pada akhir Juli 2025. BGN sudah selesai mendidik sekitar 2.000 Kepala SPPG. Dari ribuan orang itu, 6 orang mengundurkan diri. “Sehingga SDM-nya baru ada 1.994,” kata dia.

Dia menuturkan BGN akan melakukan percepatan sehingga program MBG dinikmati secara luas. Karena itu, BGN bekerja sama dengan Unhan guna mendidik 30 ribu calon kepala SPPG dalam gelombang ketiga.

Dalam aspek infrastruktur, Dadan mengatakan jumlah fasilitas SPPG masih perlu ditingkatkan untuk memenuhi target yang ditetapkan. Oleh karena itu, dia meyakini sinergi dan kemitraan dengan berbagai pihak menjadi aspek yang sangat diperlukan.

Sementara itu, BGN memperketat prosedur distribusi makanan untuk mencegah kasus keracunan MBG terulang. “Sebagai langkah korektif dan preventif, BGN juga segera melakukan pengetatan terhadap prosedur distribusi makanan. Pertama, yakni pada protokol keamanan saat proses pengantaran dari dapur ke sekolah,” kata Dadan dalam keterangan resmi di Jakarta, Sabtu.

Prosedur pengetatan kedua, kata dia, adalah pembatasan waktu maksimum pengantaran untuk menjaga kualitas makanan. Ketiga, memperketat mekanisme distribusi di sekolah, termasuk penyimpanan dan penyerahan kepada siswa.

Keempat, menetapkan batas toleransi waktu antara makanan diterima dan harus segera dikonsumsi. Kelima, menetapkan kewajiban uji organoleptik (tampilan, aroma, rasa, dan tekstur) terhadap makanan sebelum dibagikan.

Mengenai kasus keracunan di beberapa daerah, Dadan meminta masyarakat menunggu hasil investigasi resmi dari BGN. Informasi lebih lanjut dan perkembangan kasus akan disampaikan melalui kanal komunikasi resmi BGN. Dia menegaskan BGN terus berkomitmen menjaga kepercayaan publik dan memastikan MBG tetap menjadi solusi gizi yang aman, sehat, dan bermanfaat bagi anak-anak Indonesia.

Pilihan editor:Dedi Mulyadi Usul Vasektomi untuk Syarat Bansos, Ini Reaksi Para Menteri",6 Mei 2025,09.51 WIB,Politik
"Siswa Keracunan MBG, Prabowo Singgung Siswa Makan Tak Pakai Sendok",Prabowo mengklaim angka kasus keracunan program Makan Bergizi Gratis lebih kecil dibandingkan angka penerima manfaat.,"TEMPO.CO,Jakarta- PresidenPrabowoSubianto menduga kasus keracunanmakan bergizi gratiskarena siswa tidak menggunakan sendok ketika menyantap kudapan yang diberikan. Selain itu, anak itu diduga belum cuci tangan dengan bersih.

Pilihan editor:Jalan Panjang dan Berat Mewujudkan Pemakzulan Gibran

""Tidak salah karena terbiasa makan tidak pakai sendok. Namun, kami mendidik dia untuk cuci tangan. Jadi bisa saja yang keracunan adalah hal-hal seperti itu,"" kata Prabowo dalam rapat kabinet di Istana Negara, Jakarta Pusat, Senin, 5 Mei 2025.

Dia menceritakan pengalamannya ketika meninjau pelaksanaan makan gratis di salah satu sekolah. Dalam satu ruangan, 10 dari 30 anak tidak memakai sendok untuk menyantap makan bergizi. Kepala Negara menduga makan tidak menggunakan sendok membuat anak keracunan.

Selain tidak menggunakan sendok, Prabowo menduga kasus keracunan karena ada anak yang belum terbiasa mengonsumsi menu makan gratis seperti susu. Meski begitu, Prabowo meyakini, anak itu ke depan akan biasa mengonsumsi susu.",5 Mei 2025,22.50 WIB,Pendidikan
BPOM Minta Puskesmas Turut Mitigasi Keracunan Makan Bergizi Gratis,Badan Pengawas Obat dan Makanan (BPOM) meminta puskesmas turut mengawasi program makan bergizi gratis.,"TEMPO.CO,Jakarta- Kepala Badan Pengawas Obat dan Makanan (BPOM) Taruna Ikrar mengatakan lembaganya bertanggung jawab mengawasi pelaksanaan programmakan bergizi gratis. Pengawasan ini bertujuan mencegah terjadinya keracunan massal.

“Ada 13 item tanggung jawab kami yang berhubungan dengan makan bergizi gratis. Itu perintah langsung dari Pak PresidenPrabowoSubianto. Salah satunya adalah pengawasan supaya tidak terjadi kejadian luar biasa,” ujar Taruna Ikrar diPuskesmasCakung, Jakarta Timur, Jumat, 2 Mei 2025.

Tapi di beberapa tempat, Taruna Ikrar mengakui insiden keracunan masih terjadi. Karena itu, ia meminta puskesmas di daerah-daerah terkait untuk turut memitigasi pelaksanaan program ini. Ia juga meminta mereka berkoordinasi dengan balai besar untuk meningkatkan pengawasan.

Sebetulnya, Taruna Ikrar mengklaim, BPOM telah berpengalaman memitigasi dan menyelesaikan permasalahan kejadian luar biasa yang berhubungan dengan makanan ataufood safety. “Kami sangat ahli di sistem makanan, tapi kami punya keterbatasan tenaga. Dengan kerja sama, saya yakin itu bisa kita tingkatkan,” ujar dokter spesialis jantung ini.

Kasus dugaan keracunan makanan dalam program makan bergizi gratis mencuat di berbagai daerah. Setidaknya empat wilayah telah melaporkan insiden serupa sejak program ini berjalan awal 2025.",4 Mei 2025,11.21 WIB,Bisnis
BGN Kerja Sama dengan Universitas Pertahanan untuk Didik 30 Ribu Kepala SPPG,Kepala BGN Dadan Hindayana mengatakan ribuan calon Kepala SPPG itu akan selesai mengikuti pendidikan pada akhir Juli 2025.,"TEMPO.CO,Jakarta- Kepala Badan Gizi Nasional (BGN) Dadan Hindayana menyatakan mereka akan berkerja sama dengan Universitas Pertahanan (Unhan) mendidik 30 ribu calon kepala satuan pelayanan pemenuhan gizi (SPPG). Ribuan calon Kepala SPPG itu akan selesai mengikuti pendidikan pada akhir Juli 2025.

Pilihan editor:Disiplin Militer untuk Siswa Nakal ala Dedi Mulyadi. Tepatkah?

“Inshaalah akan selesai di akhir Juli. Nah makanya percepatan akan terjadi dimulai Agustus,” kata Dadan usai mengikuti rapat bersama yang dipimpin oleh Presiden Prabowo Subianto di Hambalang, Bogor, Jawa Barat, Sabtu, 3 Mei 2025 dikutip dari keterangan Sekretariat Presiden.

Dadan mengatakan BGN sampai saat ini sudah selesai mendidik sekitar 2.000 kepala SPPG. Dari ribuan orang itu, enam orang mengundurkan diri. ""Sehingga SDM-nya baru ada 1.994,"" kata dia.

BGN, kata Dadan, akan melakukan percepatan sehingga program Makan Bergizi Gratis (MBG) dinikmati secara luas. Karena itu, BGN bekerja sama dengan Unhan guna mendidik 30 ribu calon Kepala SPPG dalam gelombang ketiga.",3 Mei 2025,20.11 WIB,Hukum
Prabowo: Hilangkan Pola Pikir Kumaha Engke,Presiden Prabowo juga meminta untuk tidak menerapkan business as usual dalam manajemen pemerintah. Kebijakan pemerintah perlu dikerjakan dengan cepat.,"TEMPO.CO,Jakarta- PresidenPrabowoSubianto meminta pola pikir ""kumaha engke"" atau ""bagaimana nanti"" dalam manajemen pemerintahan dihilangkan. Manajemen birokrasi, kata dia, harus berjalan dengan cepat.

“Hilangkan itu semangatkumaha engke wae kumaha juragan wae. Kita harus berjuang cepat. Kita akan buktikan bahwa kita mampu,” kata dia dalam peringatanHari Pendidikan Nasionaldi SDN Cimahpar 5 Bogor, Jawa Barat, Jumat, 2 Mei 2025 seperti dipantau via YouTube Sekretariat Presiden.

Kepala Negara juga meminta untuk tidak menerapkanbusiness as usualdalam manajemen pemerintah. Menurut Prabowo, kebijakan pemerintah perlu dilakukan dengan cepat.

Dalam hal ini, Prabowo menyoroti programMakan Bergizi Gratisyang sudah dinikmati lebih dari 3 juta anak. Dia menargetkan, MBG sudah dinikmati sebanyak 82,9 juta penerima pada November 2025.

Mantan Menteri Pertahanan ini mengatakan, MBG akan berdampak ganda yaitu memperbaiki gizi anak-anak untuk mendukung proses belajar, sekaligus menggerakkan ekonomi lokal dari bawah. Peningkatan ekonomi lokal itu bisa mencapai 400 persen.",2 Mei 2025,20.15 WIB,Politik
"Prabowo Bilang Alokasi APBN Paling Besar untuk Pendidikan, Mencapai 22 Persen","""Indonesia juga tidak bisa menjadi negara dan maju kalau pendidikan tidak berhasil,"" kata Prabowo.","TEMPO.CO,Jakarta- PresidenPrabowoSubianto mengatakan pemerintah Indonesia menempatkan bidang pendidikan sebagai alokasi paling besar pada APBN 2025. Alokasi APBN untuk pendidikan sebesar 22 persen. Alokasi itu menempatkan APBN Indonesia untuk pendidikan lebih tinggi dibandingkan negara lain.

""Kalau tidak salah,APBNpaling tertinggi mungkin 22 persen. Kami bandingkan dengan negara lain. Negara India saja nomor satu pertahanan,"" kata Prabowo di SDN Cimahpar 5 Bogor, Jawa Barat, Jumat, 2 Mei 2025 dipantau via YouTube Sekretariat Presiden.

Kepala Negara mengatakan para elite menyadari pendidikan merupakan hal utama dalam membangun sebuah bangsa. Pendidikan adalah jalan menentukan bagi suatu kebangkitan bangsa. Bagi Prabowo, tidak mungkin Indonesia menjadi negara sejahtera kalau pendidikan tidak berhasil.

""Indonesia juga tidak bisa menjadi negara dan maju kalau pendidikan tidak berhasil,"" kata dia.

Adapun total pagu anggaran pendidikan dalam APBN 2025 adalah Rp724,3 triliun. Angka itu lebih tinggi bila dibandingkan pagu pada APBN 2024 yang sebesar Rp665 triliun.",2 Mei 2025,15.48 WIB,Pendidikan
