judul,isi,hari,tanggal,jam,kategori,link
"Paket Tak Kunjung Sampai, Mohon Tanggung Jawab Anteraja","Paket saya yang seharusnya sampai tanggal 15 Desember 2024, sampai dengan surat ini saya kirimkan belum sampai tujuan. Saya berkali-kali mengirimkan pengaduan hanya dijawab sedang ditangani pihak terkait.

Barang tersebut sebelumnya dijemput dari rumah saya oleh kurir Anteraja di Bintaro dengan tujuan Bali pada 11 Desember 2024. Tetapi setelah itu status di aplikasi sedang dalam proses.

Mohon kepada Anteraja untuk dapat secepatnya memberikan solusi atas permasalahan tersebut. Terima kasih.

SCROLL TO CONTINUE WITH CONTENT

Chindychindyanggrina11@gmail.com

Keluhan diatas belum ditanggapi oleh pihak terkait",Kamis,16 Jan 2025,12:10 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7734999/paket-tak-kunjung-sampai-mohon-tanggung-jawab-anteraja
"Undangan Terlambat Sampai, Kecewa Layanan Tiki Express","Pada Kamis 19 Desember 2024 sekitar jam 15:30 an WIB, saya sudah di agen TiKi Express gerai Tlogomas Malang untuk mengirimkan surat dari MUI Kabupaten Malang ke area Tropodo Sidoarjo. Saya sudah mengatakan ke petugas agen TIKi Tlogomas tersebut bahwa itu adalah surat undangan untuk penerima surat agar hadir di acara yang dijadwalkan Senin 23 Desember 2024, dan petugas saya rekam video memasukkan dan mengelem surat tersebut.

Oleh petugas dijanjikan sekitar hari Sabtu, 21 Desember 2024 siang akan sampai di penerima di Sidoarjo tersebut. Hari Minggu 22 Desember 2024 saya lacak di situs TiKi, posisi terakhir 21 Desember 2024 jam 14:10 tiba di Tiki Sidoarjo, tak ada update lagi.

Saya menghubungi TiKi melalui chat website tetapi tak dijawab, padahal belum jam 16:00 wib. Senin, 23 Desember 2024 pagi hari belum ada update. Baru kemudian siang saya cek, surat diterima pada 23 Desember 2024 jam 11:01. Acara terpaksa batal. Siang hari itu juga saya ke Tiki tlogomas tapi tutup.

SCROLL TO CONTINUE WITH CONTENT

Kami merasa dirugikan atas pelayanan TiKi, mulai paket yang terlambat tidak sesuai janji, juga chat yang tak dibalas. Terima kasih.

Anasgogo.anas.anas.go@gmail.com

Keluhan diatas belum ditanggapi oleh pihak terkait",Kamis,09 Jan 2025,23:11 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7725719/undangan-terlambat-sampai-kecewa-layanan-tiki-express
PPOB Arindo Pratama Bandung Belum Lakukan Pengembalian Dana,"Saya adalah salah satu member PPPOB Arindo Pratama Bandung, saya sudah lama menjadi member sebelum aplikasi error di bulan April 2024.

Pihak manajemen menyarankan untuk pindah atau migrasi ke PPOB baru yang namanya PPOB NASIIRA atau meminta pengembalian dana. Namun sampai sekarang saya hubungi tidak ada balasan.

Walaupun isi saldo tidak banyak, tetapi tanggung jawab pengembalian tidak ada itikad baik. Sehingga saya putuskan untuk mengirimkan keluhan di detik.com.

SCROLL TO CONTINUE WITH CONTENT

Semoga ada jalan keluar dengan permasalahan ini, sehingga banyak pihak yang belum terselesaikan agar cepat selesai. Terima kasih.

Badrutb.tams51@gmail.com



Lihat juga video: Member Robot Trading NET89 Tuntut Pengembalian Dana ke AndreasAndreyanto



[Gambas:Video 20detik]



Keluhan diatas belum ditanggapi oleh pihak terkait",Selasa,07 Jan 2025,18:55 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7721930/ppob-arindo-pratama-bandung-belum-lakukan-pengembalian-dana
"Transfer Virtual Account Ada Masalah, Refund Belum Diterima dari Shopee","Saya adalah salah satu agen perbankan yang melayani transfer uang. Pada 11 Desember 2024, saya melakukan transaksi transfer Briva kepada kurir Shopee atas nama Badrun Utut Pambuko sebesar Rp 2.619.669. Saldo rekening sudah terpotong tetapi ternyata belum masuk ke Shopee sehingga kami mengulang transaksi tersebut dan dinyatakan sukses.

Pada hari yang sama saya melakukan transaksi transfer Briva lagi kepada kurir Shopee atas nama Andri Setiadi sebesar Rp 1.045.962. Saldo rekening sudah terpotong lagi tetapi ternyata belum masuk ke Shopee sehingga kami mengulang transaksi tersebut dan dinyatakan sukses.

Saya mengkonfirmasi ke Shopee dan dilayani dengan sangat baik oleh pegawai keuangan Shopee cabang Gesi, Sragen, Jawa Tengah atas nama Ilham sampai beliau datang dua kali ke rumah. Beliau memberi tahu bahwa yang masuk ke masing-masing kurir hanya satu kali dan saya diminta mengkonfirmasi ke aplikasi layanan perbankan saya yaitu Fazz Agen. Setelah saya konfirmasi ternyata uang tersebut masuk ke Shopee satu hari setelah transakasi yaitu tanggal 12 Desember 2024.

SCROLL TO CONTINUE WITH CONTENT

Kemudian saya konfirmasi ke Shopee ternyata benar uang transfer masuk dari Fazz Agen dua kali di tanggal 11 dan 12 Desember 2024. Kami dijanjikan uang akan di refund tanggal 30 Desember 2024. Tapi tanggal 31 Desember 2024 saya mendapat pemberitahuan lagi bahwa uang baru bisa di refund akhir Januari 2025.

Saya merasa kecewa perusahaan sebesar Shopee melakukan refund berlarut-larut sampai hampir dua bulan padahal jelas uang sudah masuk ke Shopee. Bagi saya uang total Rp 3.665.631 sangat berarti karena uang tersebut digunakan untuk transaksi keuangan untuk keberlanjutan usaha saya. Mohon tanggapan dari pihak Shopee. Terima kasih.

Subarsubarjunanto82@gmail.com



Lihat juga video: HadirnyaYouTubeShopping di Indonesia yang Kolaborasi BarengShopee



[Gambas:Video 20detik]



Keluhan diatas belum ditanggapi oleh pihak terkait",Selasa,07 Jan 2025,18:49 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7721925/transfer-virtual-account-ada-masalah-refund-belum-diterima-dari-shopee
Kecewa Pemesanan SPK Cherry di GJAW Gaikindo Jakarta Auto Week,"Pada tanggal 29 November 2024 saya SPK nomor 24000044 untuk pemesanan mobil merek Chery J6 Limited Edition Phantom Iwd. Saya melihat di review YouTube B Channel dan Tiktok brand ambassador Chery Rio Saputra bahwa Unit Chery Phantom J6 Iwd mendapatkan velg HSR dan ban Accelera kemudian grill depan body kit tangga lipat dan box samping sesuai dengan video launching Phantom J6 Iwd di GJAW Gaikindo Jakarta Auto Week.

Dijanjikan target pengiriman unit Phantom J6 pertengahan minggu kedua Desember 2024. Tanggal 12 Desember 2024, tiba Waktu pelunasan. Saya mendapatkan warna putih dual tone hitam, yang mana warna di SPK di GJAW. Juga ada kekurangan Velg HSR dan ban Accelera yang dijanjikan yang ternyata tidak termasuk dalam pembelian Phantom J6 Iwd.

Saya sudah menghubungi call center Chery 24 jam, jawaban yang diberikan sama dari yang saya dapatkan dari sales dealer Chery Bintang Mitra Mobilindo Pondok Gede bahwa Chery Phantom J6 Iwd tidak mendapatkan velg HSR dan ban Accelera. Hal ini membuat saya sangat kecewa.

SCROLL TO CONTINUE WITH CONTENT

Mohon kepada GJAW Gaikindo Jakarta Auto Week untuk dapat memberikan layanan yang lebih baik dengan memenuhi apa yang dijanjikan. Terima kasih.

Ahsindansidan2024@gmail.com

Keluhan diatas belum ditanggapi oleh pihak terkait",Kamis,26 Des 2024,21:56 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7705063/kecewa-pemesanan-spk-cherry-di-gjaw-gaikindo-jakarta-auto-week
"Sudah Lunas 2023, YVE Habitat Belum Selesaikan Pembangunan Rumah","Saya selaku konsumen perumahan ingin menyampaikan keluhan terkait pengembang YVE Habitat yang kami nilai telah melanggar perjanjian jual beli yang disepakati. Berdasarkan Surat Perjanjian Pengikatan Jual Beli Tanah dan Bangunan No. PPJB/HH19/XII/2022 tertanggal 10 Desember 2022, dan Amandemen Surat Perjanjian Pengikatan Jual Beli Tanah dan Bangunan yang dibuat pada 18 Februari 2023, kami seharusnya menerima unit rumah bulan Desember 2023.

Namun, hingga surat ini dibuat serah terima rumah belum juga dilaksanakan, bahkan kondisi rumah masih jauh dari kata selesai. Sesuai perjanjian, serah terima seharusnya dilakukan 10 Desember 2023. Saat ini keterlambatan telah mencapai satu tahun. Karena itu berdasarkan perjanjian, YVE Habitat berkewajiban membayar uang keterlambatan 5 persen dari harga pembelian, yaitu Rp57.500.000 (Pasal 5).

Meski begitu, kami masih beritikad baik dengan menempuh cara kekeluargaan. Kami berusaha berkomunikasi dengan pihak YVE Habitat dengan datang ke kantor marketing maupun pertemuan di lapangan. Namun hingga detik ini belum ada kejelasan kapan unit HH19 dapat kami tempati.

SCROLL TO CONTINUE WITH CONTENT

Atas kelalaian dan keterlambatan ini, kami merasa telah dirugikan baik secara waktu, materi, dan energi, karena harus bolak-balik memeriksa progres pembangunan dan meminta kejelasan.

Sesuai surat pengikatan (Pasal 5), perjanjian sebetulnya batal demi hukum dan kami bisa menuntut uang kembali kepada YVE Habitat atas uang pembayaran yang telah kami keluarkan, yakni uang pelunasan booking fee, angsuran, serta pelunasan akad kredit dengan total Rp 1.150.000.000.

Namun untuk saat ini kami masih berposisi meminta itikad baik pihak YVE Habitat dengan menyelesaikan kewajibannya dengan memprioritaskan pembangunan unit HH19, mengingat kami telah melunasi pembayaran sejak tahun 2023.

Kami juga memahami adanya kendala yang dihadapi pihak manajemen, namun kami berharap pihak manajemen juga memahami kondisi kami sebagai konsumen yang dirugikan dan dilindungi oleh UU Konsumen.

Kami berharap surat ini dapat menjadi perhatian serius bagi pihak YVE Habitat untuk segera menyelesaikan permasalahan ini, dan memenuhi kewajibannya sesuai dengan perjanjian yang telah disepakati, dan kami rumah segera diselesaikan pengerjaaannya sehingga kami bisa menempati secepatnya.

Demikian surat ini kami sampaikan dengan harapan mendapatkan respons yang positif dari pihak YVE Habitat.

Triatriahalimatu@gmail.com



Simak juga video: Kata Pengamat soal Pengembang Perumahan yang Suka Obral Janji Fasilitas



[Gambas:Video 20detik]



Keluhan diatas belum ditanggapi oleh pihak terkait",Selasa,24 Des 2024,17:38 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7702235/sudah-lunas-2023-yve-habitat-belum-selesaikan-pembangunan-rumah
Kecewa Layanan Pebaikan MacBook di iBox Central Park,"(SOLVED)



Pada tanggal 19 September 2024, saya datang ke IBox Central Park dengan maksud untuk menanyakan cara RESET FACTORY SETTING pada MacBook saya. Dikarenakan saya kesulitan caranya, sehingga saya menanyakan dengan teknisi tempat saya membeli Macbook Pro saya dulu. Kemudian disarankan oleh teknisi Central Park yang bernama ADIT beberapa langkah-langkah yang harus dilakukan, saat itu saya melakukannya langsung di depan teknisinya. Yang terjadi malah Macbook saya menjadi hang sehingga disarankan ADIT untuk dilakukan diagnostic test dan dikenakan biaya Rp. 150.000.

SCROLL TO CONTINUE WITH CONTENT

Pada tanggal 23 September 2024, saya mengambil unit yang telah dilakukan diagnostic test dengan SN Unit : C02VD83ZHV2L, Repair Number : G640697707, No eskalasi ID: 102417322741. Saya langsung membuka Macbook Pro saya, yang terjadi adalah layar Macbook saya berkedip (flicker), lalu saya komplain ke teknisi ADIT karena saat saya diinfokan oleh IBox Service CP by WA di nomor : +62 822-1018-0424, tidak diinformasikan terjadi kerusakan pada hardware saya. Karena semula saya datang bukan karena ada permasalahan baik di software maupun di hardware saya.

Tapi saya hanya ingin melakukan RESET factory setting saja. Kok malah jadi merembet ke permasalahan hardware? Sampai saat tulisan ini dimuat, Macbook saya kondisinya masih ada di IBox Central Park (jadi sudah tiga bulan hanya untuk menyelesaikan masalah flicker pada layer Macbook Pro saya).

Namun pihak iBox Central Park seakan lepas tangan dan menyarankan saya menghubungi Apple Support yang ada di Singapura. Lalu beberapa kali saya menghubungi Apple Support antara lain:

Jelas bahwa saya datang ke iBox Central Park untuk menanyakan bagaimana reset factory setting, malah saya dirugikan dengan Macbook yang tidak bisa digunakan selama tiga bulan bahkan saya diharuskan membayar kerusakan layar yang bukan diakibatkan oleh saya.

Kurniawandr.kurniawan@ymail.comJawaban

Tanggapan Erajaya

Terkait dengan artikel berjudul ""Kecewa Layanan Pebaikan MacBook di iBox Central Park"" pada rubrik Suara Pembaca tertanggal 24 Desember 2024, dengan ini kami ingin menyampaikan tanggapan bahwa kami sudah menghubungi Bapak Kurniawan dan memberikan solusi yang disambut baik oleh yang bersangkutan.

SCROLL TO CONTINUE WITH CONTENT

Kami ingin mengucapkan terima kasih kepada Bapak Kurniawan atas kepercayaannya terhadap Erajaya Group. Kami selalu berkomitmen untuk mengedepankan pelayanan kepada konsumen. Kami harapkan Bapak Kurniawan akan tetap menjadi pelanggan setia jaringan toko kami.

Customer Service Erajaya dapat dihubungi pada jam 9.00-18.00 WIB (setiap hari) melalui WA dengan nomor 081290777722 atau telepon 1500372. Layanan ini juga bisa dihubungi melalui e-mail customercare@erajaya.com.

Sekali lagi, terima kasih atas dukungan Anda pada Erajaya Group.

Didit Putra ErlanggaCorporate Communications ManagerPT Erajaya Swasembada Tbk.",Selasa,24 Des 2024,10:17 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7701205/kecewa-layanan-pebaikan-macbook-di-ibox-central-park
"Paket Terlambat Sampai, Kecewa Respons JNE","Pada tanggal 12 Desember 2024 saya membeli laptop di toko official Tecno pada platform Tokopedia. Baru di tanggal 13 Desember 2024 paket pembelian saya di serahkan pihak penjual ke ekspedisi JNE Jakarta. Berdasarkan tracking yang saya lakukan sampai dengan tanggal 17 Desember 2024, status pengiriman paket hanya terupdate oleh pihak JNE.

Tanggal 16 Desember paket masih transit di Bulkhub tanpa diketahui lokasinya. Hal ini sudah saya coba tanyakan ke costumer service JNE, namun jawaban tidak bisa menjelaskan permasalahan keterlambatan dan lokasi paket saya. Tanggal 18 Desember 2024 sekitar jam 10:55 ada nomor yang tidak saya kenal mengirimkan pesan suara menanyakan alamat dan share lokasi alamat rumah saya.

Karena saya tidak memegang handphone, di jam 12:56 pesan telah saya respons dan saya kirimkan share lokasi alamat yang diminta. Bersamaan itu juga saya berusaha beberapa kali menghubungi nomor tersebut sampai sore, namun tidak ada respons. Sampai sore paket saya tidak kunjung diantarkan.

SCROLL TO CONTINUE WITH CONTENT

Padahal waktu pengiriman sudah masuk hari ke-6. Kami merasa kecewa dengan pelayanan JNE, dari keterlambatan waktu pengiriman dan tidak ada respons dari kurir. Mohon tanggapannya, terima kasih.

Imamimamsadaruddin@gmail.com

Keluhan diatas belum ditanggapi oleh pihak terkait",Selasa,24 Des 2024,10:06 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7701190/paket-terlambat-sampai-kecewa-respons-jne
"Paket Tak Kunjung Dijemput, Layanan Indopaket Mengecewakan","(SOLVED)



Pada tanggal 17 Des 2024 pukul 08:58 WIB saya membuat pesanan pengiriman paket melalui aplikasi Indopaket. Layanan yang saya pilih adalah penjemputan paket dari toko Jakartanotebook Jakarta Barat dan pengantaran ke alamat penerima di Bandung. Pukul 16:59 WIB status pengiriman tertulis ""Jemput Dari Pengirim"".

SCROLL TO CONTINUE WITH CONTENT

Namun hingga tanggal 20 Desember 2024, paket saya belum juga dijemput. Setelah berkali-kali komplain melalui Whatsapp, saya mendapat jawaban bahwa saat paket akan dijemput ternyata belum siap atau toko merasa tidak memesan. Padahal saat saya membuat pesanan pengiriman paket melalui aplikasi Indopaket pada catatan alamat pengirim sudah saya cantumkan kode pickup untuk pengambilan barangnya yang artinya barang sudah siap diambil.

Atas pelayanan dari Indopaket ini sungguh merugikan saya karena membuat pengiriman paket menjadi lebih lama bahkan tidak jelas. Terima kasih.

Diandiansandi91011@gmail.comJawaban

Tanggapan INDOPAKET untuk keluhan Bapak Dian

Dengan hormat, Sebelumnya kami mengucapkan terima kasih atas keluhan yang disampaikan oleh Bapak Dian yang dimuat di Detik.com pada Selasa, 24 Desember 2024. dengan judul ""Paket Tak Kunjung Dijemput, Layanan Indopaket Mengecewakan"".

SCROLL TO CONTINUE WITH CONTENT

Menanggapi keluhan tersebut, kami dari INDOPAKET menyampaikan permohonan maaf atas ketidaknyamanan yang dialami. Atas hal tersebut kami telah melakukan investigasi lebih lanjut atas kendala yang dialami bapak Dian. Dan pada kesempatan ini dapat kami sampaikan bahwa proses pengiriman paket tersebut sudah selesai dan paket sudah terkirim.

Untuk penjelasan lebih rinci kepada bapak Dian, akan kami sampaikan lebih lanjut dikarenakan kami belum berhasil menghubungi bapak Dian.Kami sangat mengapresiasi masukan yang sudah diberikan dan akan kami gunakan untuk meningkatkan kualitas pelayanan Indopaket.



Nandha PratamaSupport ManagerINDOPAKET",Selasa,24 Des 2024,09:57 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7701169/paket-tak-kunjung-dijemput-layanan-indopaket-mengecewakan
"Isi Pulsa Data Belum Masuk, Mohon Tanggapan Telkomsel","(SOLVED)



Pada tanggal 24 November 2024 jam 04.36 saya mengisi pulsa data Telkomsel dengan nominal Rp 80 ribu melalui pembayaran Gopay. Saldo Gopay saat itu langsung terpotong, tetapi sampai dengan surat pembaca ini saya buat pulsa data itu belum saya dapatkan.

SCROLL TO CONTINUE WITH CONTENT

Saya merasa kecewa karena pulsa data itu saya akan gunakan untuk menunjang profesi saya sebagai pengemudi ojek online. Saya sudah sering komplain ke Telkomsel, tetapi disuruh menunggu terus dan akan diselesaikan secepatnya.

Pihak Gopay yang menerima laporan saya mengatakan bahwa transaksi sukses. Mohon tanggapan dan solusi secepatnya, terima kasih.



Sigitmeitresia6@gmail.comJawaban

Tanggapan Telkomsel

Merujuk pada surat pembaca di Detik.com pada tanggal 12 Desember 2024 oleh Bapak Sigit mengenai pulsa Telkomsel yang belum masuk. Dapat kami sampaikan bahwa Telkomsel telah menghubungi pelanggan secara langsung dan melakukan pemeriksaan terhadap kendala yang dialami oleh pelanggan. Telkomsel juga telah mengupayakan solusi terbaik atas kendala yang dihadapi. Mohon maaf atas ketidaknyamanan yang dialami dan terima kasih atas kritik serta saran yang disampaikan kepada Telkomsel.

SCROLL TO CONTINUE WITH CONTENT

Beragam informasi produk, fitur, serta layanan self-care Telkomsel dapat dinikmati pelanggan dengan kemudahan menggunakan layanan GraPARI Online untuk melakukan proses layanan seperti ganti/ upgrade kartu SIM 4G, pembelian SIM card Telkomsel Prabayar, serta pendaftaran Telkomsel Halo (pascabayar) secara online dengan mengakses tsel.me/graparionline sedangkan untuk melihat produk Indihome dapat diakses pada indihome.co.id/aboutindihome.

Pelanggan Telkomsel Prabayar, Telkomsel Halo, dan Indihome dapat menghubungi Call Center 188. Berbagai channel digital Telkomsel dapat pula diakses oleh pelanggan melalui e-mail ke cs@telkomsel.com, facebook.com/telkomsel, Instagram @telkomsel, Twitter @telkomsel, dan Twitter @indihomecare. Dapatkan juga kemudahan dalam mengakses informasi tentang produk dan layanan Telkomsel melalui Asisten Virtual Telkomsel

Demikian disampaikan, terima kasih atas perhatian dan kepercayaan Bapak Sigit dalam menggunakan beragam produk dan layanan Telkomsel. Kepuasan ataupun masukan pelanggan adalah inspirasi bagi kami untuk selalu melakukan inovasi baru dan secara konsisten memberikan layanan yang terbaik.

KURNIA PURWANTOManager External CommunicationsPT. TELEKOMUNIKASI SELULAR",Kamis,12 Des 2024,11:27 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7682916/isi-pulsa-data-belum-masuk-mohon-tanggapan-telkomsel
"Sudah Sebulan Lebih Paket Hilang, J&T Belum Ada Solusi","Di bulan Oktober 2024, paket seharga Rp 1 jutaan dengan nomor resi J&T JP870813557 mengalami kendala. Pihak JNT menghimbau agar kami menghubungi pihak Shopee mengenai kendala tersebut.

Tetapi Shopee tidak dapat memberikan informasi karena pihak J&T tidak terbuka mengenai paket yang hilang tersebut. Kemudian saya menyampaikan informasi sebelumnya ke pihak J&T, dan kami diminta menghubungi cabang awal J&T Jalan Raya Pos Pengumben Kebon Jeruk untuk melakukan konfirmasi ganti rugi.

Sudah satu bulan lebih sejak masalah tersebut. Tolong untuk pihak J&T untuk lebih bijaksana untuk memberikan solusi, karena nominal tidak sedikit. Terima kasih.

SCROLL TO CONTINUE WITH CONTENT

Yohanayohanafriska.p1000@gmail.com

Keluhan diatas belum ditanggapi oleh pihak terkait",Jumat,06 Des 2024,13:29 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7673844/sudah-sebulan-lebih-paket-hilang-j-t-belum-ada-solusi
Kecewa Purna Jual Motor Listrik Yadea,"Sembilan bulan kami menggunakan motor listrik Yadea E8S Pro dan digunakan secara aktif oleh istri hanya untuk antar jemput anak ke sekolah dan kebutuhan rumah tangga sehari-hari. Tidak pernah untuk penggunaan berat. Motor tersebut tidak sesuai harapan karena terjadi beberapa berbagai kendala.

Kendala terburuk adalah komstir belok sendiri dan baterai menggelembung. Walau katanya ada auto stop, charging kami awasi maksimum lima jam tetapi baterai terjadi menggelembung.

Motor tersebut kami beli secara tunai di diler Indomobil KIA/Yadea Bintaro Sektor 7, Tangsel, Banten atas nama istri di akhir Des 2023. Sampai tanggal surat ini, motor masih dalam masa garansi.

SCROLL TO CONTINUE WITH CONTENT

Setiap penanganan keluhan Yadea selalu tidak memuaskan. Bahkan tidak pernah ada teknisi yang bisa didatangkan ke rumah di mana lokasi rumah kami jaraknya tidak sampai 1 km dari diler tersebut. Perbaikan komstir butuh beberapa kali motor menginap di diler.

Saat baterai menggelembung hingga timbul panas berlebih di area pijakan, pihak diler bersikeras tidak mau kirim teknisi dan minta motor diantar sendiri oleh istri ke diler. Padahal ada risiko baterai meledak di jalan!

Terpaksa istri dengan was-was membawa motor tersebut ke diler 6 Sept 2024 dan mendapat penanganan klaim garansi baterai. Ternyata hingga kini sudah hampir tiga bulan motor masih menginap di diler tanpa ada kepastian kapan akan selesai. Yadea pun tidak menawarkan motor pengganti sementara maupun kompensasi dalam bentuk lain. Selayaknya Yadea mengerti seberapa besar kerugian kami.

2 kali surat yang telah kami kirimkan melalui website Yadea.id hanya dikonfirmasi saja tanpa ada solusi. Belum lagi percakapan melalui ponsel yang juga tanpa kejelasan. Dengan berat hati akhirnya kami memutuskan untuk menulis surat pembaca ini.

Jika Yadea tidak dapat mengatasi persoalan purna jual ini (menyelesaikan klaim garansi atau tukar motor baru) paling lambat minggu pertama Des 2024 ini, kami meminta Yadea Indonesia untuk membeli kembali (refund) motor kami dengan harga yang akan disepakati karena kami sudah tidak yakin akan layanan purna jual anda ke depannya.

Mohon tindak lanjutnya segera. Terima kasih.

Brotobroto_suseno@msn.com

Keluhan diatas belum ditanggapi oleh pihak terkait",Jumat,06 Des 2024,12:37 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7673741/kecewa-purna-jual-motor-listrik-yadea
"Oknum Pengemudi Bandara Ugal-Ugalan, Mohon Tindakan Traveloka","Pada tanggal 15 November 2024, kami sekeluarga memesan penjemputan bandara dari Traveloka. Sesampainya kami di bandara, ternyata pengemudi dari SmartTrans masih berada di tengah kota dan terlambat sekitar 30 menit. Ketika mobil mulai berjalan, kami diminta uang tambahan sebesar Rp 50 ribu per-orang dan Rp 25 ribu untuk bagasi.

Tak hanya itu, pengemudi menyetir dengan ngebut dan ugal-ugalan, bahkan ketika mengisi bensin tidak mematikan mesin. Ketika kami sampai di tujuan, pengemudi langsung mengeluarkan ponsel untuk mengambil gambar kami dan rumah tujuan tersebut. Sungguh suatu perilaku yang tidak sopan.

Kami sudah mengajukan aduan ke Traveloka namun sayang tidak ditanggapi dengan serius. Selama tujuh hari hanya mendapatkan email dengan jawaban yang sama yaitu menunggu jawaban SmartTrans. Di hari ke-7 kami akan diberikan voucher potongan Rp 50 ribu, namun diwajibkan melakukan pembelian terlebih dahulu di Traveloka.

SCROLL TO CONTINUE WITH CONTENT

Sungguh sebuah solusi yang tidak masuk di akal. Pengalaman pertama yang mengecewakan bepergian bersama Traveloka, terlebih ketika customer care juga tidak 'care' terhadap pelanggannya. Terima kasih.

Fransiskafransiska.sembiring18@gmail.com

Keluhan diatas belum ditanggapi oleh pihak terkait",Jumat,06 Des 2024,11:00 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7673557/oknum-pengemudi-bandara-ugal-ugalan-mohon-tindakan-traveloka
